state,sector,week,MtCO2 per week
Anhui,Aviation,2021-09-27/2021-10-03,0.05114319
Anhui,Aviation,2021-10-04/2021-10-10,0.05104434
Anhui,Aviation,2021-10-11/2021-10-17,0.05095786
Anhui,Aviation,2021-10-18/2021-10-24,0.05077143
Anhui,Aviation,2021-10-25/2021-10-31,0.04390226
Anhui,Aviation,2021-11-01/2021-11-07,0.03813501
Anhui,Aviation,2021-11-08/2021-11-14,0.03435809
Anhui,Aviation,2021-11-15/2021-11-21,0.03793634
Anhui,Aviation,2021-11-22/2021-11-28,0.04218757
Anhui,Aviation,2021-11-29/2021-12-05,0.04005292
Anhui,Aviation,2021-12-06/2021-12-12,0.03822048
Anhui,Aviation,2021-12-13/2021-12-19,0.03834539
Anhui,Aviation,2021-12-20/2021-12-26,0.03812588
Anhui,Aviation,2021-12-27/2022-01-02,0.0398456
Anhui,Aviation,2022-01-03/2022-01-09,0.04186893
Anhui,Aviation,2022-01-10/2022-01-16,0.0430476
Anhui,Aviation,2022-01-17/2022-01-23,0.0426455
Anhui,Aviation,2022-01-24/2022-01-30,0.0469745
Anhui,Aviation,2022-01-31/2022-02-06,0.03469733
Anhui,Aviation,2022-02-07/2022-02-13,0.04707215
Anhui,Aviation,2022-02-14/2022-02-20,0.04754897
Anhui,Aviation,2022-02-21/2022-02-27,0.04414501
Anhui,Aviation,2022-02-28/2022-03-06,0.03620568
Anhui,Aviation,2022-03-07/2022-03-13,0.03033781
Anhui,Aviation,2022-03-14/2022-03-20,0.021653969999999998
Anhui,Aviation,2022-03-21/2022-03-27,0.01734461
Anhui,Aviation,2022-03-28/2022-04-03,0.01500916
Anhui,Aviation,2022-04-04/2022-04-10,0.01332359
Anhui,Aviation,2022-04-11/2022-04-17,0.01414778
Anhui,Aviation,2022-04-18/2022-04-24,0.01574933
Anhui,Aviation,2022-04-25/2022-05-01,0.01766001
Anhui,Aviation,2022-05-02/2022-05-08,0.01640044
Anhui,Aviation,2022-05-09/2022-05-15,0.01916747
Anhui,Aviation,2022-05-16/2022-05-22,0.02137178
Anhui,Aviation,2022-05-23/2022-05-29,0.02207415
Anhui,Aviation,2022-05-30/2022-06-05,0.02251888
Anhui,Aviation,2022-06-06/2022-06-12,0.02721445
Anhui,Aviation,2022-06-13/2022-06-19,0.03029793
Anhui,Aviation,2022-06-20/2022-06-26,0.03267994
Anhui,Aviation,2022-06-27/2022-07-03,0.03527139
Anhui,Aviation,2022-07-04/2022-07-10,0.03892292
Anhui,Aviation,2022-07-11/2022-07-17,0.03889707
Anhui,Aviation,2022-07-18/2022-07-24,0.0382894
Anhui,Aviation,2022-07-25/2022-07-31,0.03966514
Anhui,Aviation,2022-08-01/2022-08-07,0.04524328
Anhui,Aviation,2022-08-08/2022-08-14,0.042910500000000004
Anhui,Aviation,2022-08-15/2022-08-21,0.03963261
Anhui,Aviation,2022-08-22/2022-08-28,0.034836690000000003
Anhui,Aviation,2022-08-29/2022-09-04,0.03103389
Anhui,Aviation,2022-09-05/2022-09-11,0.02734748
Anhui,Aviation,2022-09-12/2022-09-18,0.03006157
Anhui,Aviation,2022-09-19/2022-09-25,0.03457074
